iy,width,height,depth,area,porosity_at_iy,total_volume_material_at_iy
0.00024,0.000105,8.999999999999999e-05,8.000000000000002e-05,7.675000000000001e-09,0.022801302931596087,3.8375000000000013e-14
0.000245,0.0001,8.999999999999999e-05,8.000000000000002e-05,7.675000000000001e-09,0.009771986970684038,3.8375000000000013e-14
0.00025,0.00011,8.999999999999999e-05,8.000000000000002e-05,7.950000000000002e-09,0.012578616352201257,3.9750000000000014e-14
0.000255,0.00011,8.999999999999999e-05,8.000000000000002e-05,7.875000000000001e-09,0.009523809523809523,3.937500000000001e-14
0.00026,0.000115,8.999999999999999e-05,7.500000000000001e-05,7.900000000000001e-09,0.0,3.950000000000001e-14
0.000265,0.00012,8.999999999999999e-05,8.000000000000002e-05,7.975000000000002e-09,0.003134796238244514,3.987500000000001e-14
0.00027,0.00012,8.999999999999999e-05,8.000000000000002e-05,7.950000000000002e-09,0.003144654088050314,3.9750000000000014e-14
0.000275,0.00012,9.499999999999998e-05,7.999999999999999e-05,8.075000000000001e-09,0.009287925696594427,4.037500000000001e-14
0.00028,0.00012,9.499999999999998e-05,7.499999999999998e-05,7.575000000000002e-09,0.0,3.787500000000001e-14
0.000285,0.000115,9.499999999999998e-05,7.499999999999998e-05,7.500000000000001e-09,0.006666666666666666,3.750000000000001e-14
0.00029,0.000115,9.499999999999998e-05,7.499999999999998e-05,7.425000000000001e-09,0.003367003367003367,3.712500000000001e-14
0.000295,0.00011,9.999999999999999e-05,7e-05,7.350000000000001e-09,0.0,3.675000000000001e-14
0.0003,0.000105,9.999999999999999e-05,5.9999999999999995e-05,7.3750000000000015e-09,0.0,3.6875000000000013e-14
0.000305,0.000105,9.999999999999999e-05,5.9999999999999995e-05,7.3750000000000015e-09,0.0,3.6875000000000013e-14
0.00031,0.000105,9.999999999999999e-05,6.499999999999998e-05,7.3750000000000015e-09,0.0,3.6875000000000013e-14
0.000315,0.000105,9.999999999999999e-05,6.499999999999998e-05,7.500000000000001e-09,0.0,3.750000000000001e-14
0.00032,0.000105,9.999999999999999e-05,7e-05,7.750000000000002e-09,0.0,3.875000000000001e-14
0.000325,0.000105,9.999999999999999e-05,7.499999999999998e-05,7.825e-09,0.0,3.912500000000001e-14
0.00033,0.00011,9.499999999999998e-05,7e-05,7.875000000000001e-09,0.009523809523809523,3.937500000000001e-14
0.000335,0.00011,9.499999999999998e-05,6.499999999999998e-05,7.750000000000002e-09,0.0032258064516129032,3.875000000000001e-14
0.00034,0.00011,9.499999999999998e-05,7.499999999999998e-05,7.500000000000001e-09,0.003333333333333333,3.750000000000001e-14
0.000345,0.00011,9.499999999999998e-05,7e-05,7.3750000000000015e-09,0.0,3.6875000000000013e-14
0.00035,0.000105,9.499999999999998e-05,7.999999999999999e-05,7.525000000000001e-09,0.016611295681063124,3.762500000000001e-14
0.000355,0.000105,9.499999999999998e-05,7.499999999999998e-05,7.450000000000001e-09,0.013422818791946308,3.725000000000001e-14
0.00036,0.000105,9.999999999999999e-05,7.999999999999999e-05,7.675000000000001e-09,0.035830618892508145,3.8375000000000013e-14
0.000365,0.000105,9.999999999999999e-05,7.999999999999999e-05,7.675000000000001e-09,0.029315960912052116,3.8375000000000013e-14
0.00037,0.000105,9.499999999999998e-05,7.999999999999999e-05,7.525000000000001e-09,0.0,3.762500000000001e-14
0.000375,0.00011,8.999999999999999e-05,7.500000000000001e-05,7.675000000000001e-09,0.009771986970684038,3.8375000000000013e-14
0.00038,0.00011,8.999999999999999e-05,7.500000000000001e-05,7.65e-09,0.0,3.825000000000001e-14
0.000385,0.00011,9.5e-05,8.000000000000002e-05,7.750000000000002e-09,0.0032258064516129032,3.875000000000001e-14
0.00039,0.00011,9.5e-05,8.000000000000002e-05,7.700000000000001e-09,0.012987012987012986,3.850000000000001e-14
0.000395,0.00011,8.999999999999999e-05,8.000000000000002e-05,7.675000000000001e-09,0.013029315960912051,3.8375000000000013e-14
0.0004,0.00011,8.999999999999999e-05,8.000000000000002e-05,7.575000000000002e-09,0.009900990099009901,3.787500000000001e-14
0.000405,0.00011,9.5e-05,8.000000000000002e-05,7.750000000000002e-09,0.0032258064516129032,3.875000000000001e-14
0.00041,0.00011,9.5e-05,8.000000000000002e-05,7.925000000000001e-09,0.012618296529968456,3.962500000000001e-14
0.000415,0.000115,8.999999999999999e-05,8.000000000000002e-05,8.000000000000002e-09,0.009375,4.000000000000001e-14
0.00042,0.000115,9.5e-05,8.499999999999998e-05,8.075000000000001e-09,0.006191950464396285,4.037500000000001e-14
0.000425,0.00011,9.5e-05,8.499999999999998e-05,8.150000000000002e-09,0.018404907975460124,4.075000000000001e-14
0.00043,0.000115,9.5e-05,8.499999999999998e-05,8.475000000000001e-09,0.026548672566371685,4.237500000000001e-14
0.000435,0.00012,9.5e-05,8.000000000000002e-05,8.300000000000002e-09,0.018072289156626505,4.150000000000001e-14
0.00044,0.00012,9.5e-05,8.000000000000002e-05,8.250000000000001e-09,0.012121212121212121,4.1250000000000014e-14
0.000445,0.000115,9.5e-05,8.000000000000002e-05,8.250000000000001e-09,0.012121212121212121,4.1250000000000014e-14
0.00045,0.00011,9.5e-05,8.000000000000002e-05,8.175000000000002e-09,0.01834862385321101,4.087500000000001e-14
0.000455,0.000115,8.999999999999999e-05,6.500000000000001e-05,8.000000000000002e-09,0.015625,4.000000000000001e-14
0.00046,0.00011,8.999999999999999e-05,8.000000000000002e-05,8.025e-09,0.03115264797507788,4.012500000000001e-14
0.000465,0.000115,8.999999999999999e-05,7.500000000000001e-05,7.85e-09,0.009554140127388535,3.925000000000001e-14
