power_W,width_um,depth_um,area_um2,iter,objective,status,timestamp
140.0,92.5,51.41304347826089,4758.152173913045,1,0.14223867079781838,ok,2025-11-30 12:19:20
170.0,98.58695652173913,59.78260869565217,5502.71739130435,1,0.14223867079781838,ok,2025-11-30 12:19:20
200.0,104.67391304347827,65.54347826086959,6286.956521739132,1,0.14223867079781838,ok,2025-11-30 12:19:20
230.0,108.3695652173913,72.06521739130433,7026.086956521741,1,0.14223867079781838,ok,2025-11-30 12:19:20
260.0,113.26086956521738,78.04347826086959,7900.000000000003,1,0.14223867079781838,ok,2025-11-30 12:19:20
140.0,95.76086956521742,54.67391304347828,4953.804347826088,2,0.12994053278991666,ok,2025-12-02 04:42:08
170.0,102.93478260869567,61.95652173913043,5730.978260869567,2,0.12994053278991666,ok,2025-12-02 04:42:08
200.0,107.6086956521739,68.91304347826089,6592.934782608696,2,0.12994053278991666,ok,2025-12-02 04:42:08
230.0,113.58695652173913,74.8913043478261,7421.195652173913,2,0.12994053278991666,ok,2025-12-02 04:42:08
260.0,115.65217391304348,78.2608695652174,8083.152173913044,2,0.12994053278991666,ok,2025-12-02 04:42:08
140.0,88.15217391304347,49.45652173913044,4537.500000000001,3,0.15827649734248084,ok,2025-12-03 20:48:37
170.0,95.76086956521742,56.739130434782616,5302.173913043479,3,0.15827649734248084,ok,2025-12-03 20:48:37
200.0,99.34782608695654,62.93478260869567,6110.326086956523,3,0.15827649734248084,ok,2025-12-03 20:48:37
230.0,102.60869565217394,69.34782608695653,6758.152173913043,3,0.15827649734248084,ok,2025-12-03 20:48:37
260.0,106.52173913043477,74.1304347826087,7415.760869565216,3,0.15827649734248084,ok,2025-12-03 20:48:37
140.0,100.97826086956522,56.73913043478262,5227.173913043479,4,0.1158904293643344,ok,2025-12-05 12:32:03
170.0,108.80434782608697,64.3478260869565,6055.434782608697,4,0.1158904293643344,ok,2025-12-05 12:32:03
200.0,114.02173913043481,72.06521739130436,6944.565217391305,4,0.1158904293643344,ok,2025-12-05 12:32:03
230.0,122.50000000000003,77.49999999999999,7822.282608695655,4,0.1158904293643344,ok,2025-12-05 12:32:03
260.0,124.67391304347828,83.04347826086958,8542.391304347828,4,0.1158904293643344,ok,2025-12-05 12:32:03
140.0,91.08695652173914,52.06521739130436,4719.565217391306,5,0.14522580451887535,ok,2025-12-06 22:48:18
170.0,98.47826086956522,59.23913043478261,5457.608695652174,5,0.14522580451887535,ok,2025-12-06 22:48:18
200.0,101.84782608695653,65.54347826086958,6271.739130434786,5,0.14522580451887535,ok,2025-12-06 22:48:18
230.0,107.28260869565217,71.30434782608695,7011.956521739132,5,0.14522580451887535,ok,2025-12-06 22:48:18
260.0,110.76086956521739,76.19565217391306,7776.630434782611,5,0.14522580451887535,ok,2025-12-06 22:48:18
