sigma,Marangoni_Constant,substrate_temp,width_um_140W,depth_um_140W,area_um2_140W,width_um_170W,depth_um_170W,area_um2_170W,width_um_200W,depth_um_200W,area_um2_200W,width_um_230W,depth_um_230W,area_um2_230W,width_um_260W,depth_um_260W,area_um2_260W,objective,status,runtime_sec,timestamp
1.773956049,-0.000450653,300,92.5,51.41304348,4758.152174,98.58695652,59.7826087,5502.717391,104.673913,65.54347826,6286.956522,108.3695652,72.06521739,7026.086957,113.2608696,78.04347826,7900,0.142238671,ok,145368.5537,11/30/2025 12:19
1.697368029,-0.000725035,300,95.76086957,54.67391304,4953.804348,102.9347826,61.95652174,5730.978261,107.6086957,68.91304348,6592.934783,113.5869565,74.89130435,7421.195652,115.6521739,78.26086957,8083.152174,0.129940533,ok,144388.4708,12/2/2025 4:42
1.761139702,-0.000174293,300,88.15217391,49.45652174,4537.5,95.76086957,56.73913043,5302.173913,99.34782609,62.93478261,6110.326087,102.6086957,69.34782609,6758.152174,106.5217391,74.13043478,7415.76087,0.158276497,ok,143006.4629,12/3/2025 20:48
1.009259782,-0.000650096,300,100.9782609,56.73913043,5227.173913,108.8043478,64.34782609,6055.434783,114.0217391,72.06521739,6944.565217,122.5,77.5,7822.282609,124.673913,83.04347826,8542.391304,0.115890429,ok,123374.7375,12/5/2025 12:32
1.045114746,-5.50E-05,300,91.08695652,52.06521739,4719.565217,98.47826087,59.23913043,5457.608696,101.8478261,65.54347826,6271.73913,107.2826087,71.30434783,7011.956522,110.7608696,76.19565217,7776.630435,0.145225805,ok,117465.9553,12/6/2025 22:48
