Points_0,Points_1,Points_2
9e-05,0.00048,8e-05
9.5e-05,0.00048,8e-05
0.0001,0.00048,8e-05
0.000105,0.00048,8e-05
0.00011,0.00048,8e-05
0.000115,0.00048,8e-05
9e-05,0.000485,8e-05
9.5e-05,0.000485,8e-05
0.0001,0.000485,8e-05
0.000105,0.000485,8e-05
0.00011,0.000485,8e-05
0.000115,0.000485,8e-05
8.5e-05,0.00049,8e-05
9e-05,0.00049,8e-05
9.5e-05,0.00049,8e-05
0.0001,0.00049,8e-05
0.000105,0.00049,8e-05
0.00011,0.00049,8e-05
0.000115,0.00049,8e-05
8.5e-05,0.000495,8e-05
9e-05,0.000495,8e-05
9.5e-05,0.000495,8e-05
0.0001,0.000495,8e-05
0.000105,0.000495,8e-05
0.00011,0.000495,8e-05
0.000115,0.000495,8e-05
8.5e-05,0.0005,8e-05
9e-05,0.0005,8e-05
9.5e-05,0.0005,8e-05
0.0001,0.0005,8e-05
0.000105,0.0005,8e-05
0.00011,0.0005,8e-05
0.000115,0.0005,8e-05
9e-05,0.000505,8e-05
9.5e-05,0.000505,8e-05
0.0001,0.000505,8e-05
0.000105,0.000505,8e-05
0.00011,0.000505,8e-05
0.000115,0.000505,8e-05
9e-05,0.00051,8e-05
9.5e-05,0.00051,8e-05
0.0001,0.00051,8e-05
0.000105,0.00051,8e-05
0.00011,0.00051,8e-05
0.000115,0.00051,8e-05
9e-05,0.000515,8e-05
9.5e-05,0.000515,8e-05
0.0001,0.000515,8e-05
0.000105,0.000515,8e-05
0.00011,0.000515,8e-05
0.000115,0.000515,8e-05
9e-05,0.00052,8e-05
9.5e-05,0.00052,8e-05
0.0001,0.00052,8e-05
0.000105,0.00052,8e-05
0.00011,0.00052,8e-05
0.000115,0.00052,8e-05
9.5e-05,0.000525,8e-05
0.0001,0.000525,8e-05
0.000105,0.000525,8e-05
0.00011,0.000525,8e-05
9.5e-05,0.00053,8e-05
0.0001,0.00053,8e-05
0.000105,0.00053,8e-05
0.00011,0.00053,8e-05
0.0001,0.000535,8e-05
0.000105,0.000535,8e-05
9.5e-05,0.00058,8e-05
0.0001,0.00058,8e-05
0.000105,0.00058,8e-05
9.5e-05,0.000585,8e-05
0.0001,0.000585,8e-05
0.000105,0.000585,8e-05
9.5e-05,0.00059,8e-05
0.0001,0.00059,8e-05
0.000105,0.00059,8e-05
9.5e-05,0.000595,8e-05
0.0001,0.000595,8e-05
0.000105,0.000595,8e-05
9.5e-05,0.0006,8e-05
0.0001,0.0006,8e-05
0.000105,0.0006,8e-05
9.5e-05,4e-05,8.5e-05
0.0001,4e-05,8.5e-05
0.000105,4e-05,8.5e-05
9.5e-05,4.5e-05,8.5e-05
0.0001,4.5e-05,8.5e-05
0.000105,4.5e-05,8.5e-05
9.5e-05,5e-05,8.5e-05
0.0001,5e-05,8.5e-05
0.000105,5e-05,8.5e-05
0.00011,5e-05,8.5e-05
9.5e-05,5.5e-05,8.5e-05
0.0001,5.5e-05,8.5e-05
0.000105,5.5e-05,8.5e-05
0.00011,5.5e-05,8.5e-05
9.5e-05,6e-05,8.5e-05
0.0001,6e-05,8.5e-05
0.000105,6e-05,8.5e-05
0.00011,6e-05,8.5e-05
9e-05,6.5e-05,8.5e-05
9.5e-05,6.5e-05,8.5e-05
0.0001,6.5e-05,8.5e-05
0.000105,6.5e-05,8.5e-05
0.00011,6.5e-05,8.5e-05
9e-05,7e-05,8.5e-05
9.5e-05,7e-05,8.5e-05
0.0001,7e-05,8.5e-05
0.000105,7e-05,8.5e-05
0.00011,7e-05,8.5e-05
0.000115,7e-05,8.5e-05
8.5e-05,7.5e-05,8.5e-05
9e-05,7.5e-05,8.5e-05
9.5e-05,7.5e-05,8.5e-05
0.0001,7.5e-05,8.5e-05
0.000105,7.5e-05,8.5e-05
0.00011,7.5e-05,8.5e-05
0.000115,7.5e-05,8.5e-05
8.5e-05,8e-05,8.5e-05
9e-05,8e-05,8.5e-05
9.5e-05,8e-05,8.5e-05
0.0001,8e-05,8.5e-05
0.000105,8e-05,8.5e-05
0.00011,8e-05,8.5e-05
0.000115,8e-05,8.5e-05
8.5e-05,8.5e-05,8.5e-05
9e-05,8.5e-05,8.5e-05
9.5e-05,8.5e-05,8.5e-05
0.0001,8.5e-05,8.5e-05
0.000105,8.5e-05,8.5e-05
0.00011,8.5e-05,8.5e-05
0.000115,8.5e-05,8.5e-05
8.5e-05,9e-05,8.5e-05
9e-05,9e-05,8.5e-05
9.5e-05,9e-05,8.5e-05
0.0001,9e-05,8.5e-05
0.000105,9e-05,8.5e-05
0.00011,9e-05,8.5e-05
0.000115,9e-05,8.5e-05
8.5e-05,9.5e-05,8.5e-05
9e-05,9.5e-05,8.5e-05
9.5e-05,9.5e-05,8.5e-05
0.0001,9.5e-05,8.5e-05
0.000105,9.5e-05,8.5e-05
0.00011,9.5e-05,8.5e-05
0.000115,9.5e-05,8.5e-05
8.5e-05,0.0001,8.5e-05
9e-05,0.0001,8.5e-05
9.5e-05,0.0001,8.5e-05
0.0001,0.0001,8.5e-05
0.000105,0.0001,8.5e-05
0.00011,0.0001,8.5e-05
0.000115,0.0001,8.5e-05
8.5e-05,0.000105,8.5e-05
9e-05,0.000105,8.5e-05
9.5e-05,0.000105,8.5e-05
0.0001,0.000105,8.5e-05
0.000105,0.000105,8.5e-05
0.00011,0.000105,8.5e-05
0.000115,0.000105,8.5e-05
8.5e-05,0.00011,8.5e-05
9e-05,0.00011,8.5e-05
9.5e-05,0.00011,8.5e-05
0.0001,0.00011,8.5e-05
0.000105,0.00011,8.5e-05
0.00011,0.00011,8.5e-05
0.000115,0.00011,8.5e-05
8.5e-05,0.000115,8.5e-05
9e-05,0.000115,8.5e-05
9.5e-05,0.000115,8.5e-05
0.0001,0.000115,8.5e-05
0.000105,0.000115,8.5e-05
0.00011,0.000115,8.5e-05
0.000115,0.000115,8.5e-05
8.5e-05,0.00012,8.5e-05
9e-05,0.00012,8.5e-05
9.5e-05,0.00012,8.5e-05
0.0001,0.00012,8.5e-05
0.000105,0.00012,8.5e-05
0.00011,0.00012,8.5e-05
0.000115,0.00012,8.5e-05
8.5e-05,0.000125,8.5e-05
9e-05,0.000125,8.5e-05
9.5e-05,0.000125,8.5e-05
0.0001,0.000125,8.5e-05
0.000105,0.000125,8.5e-05
0.00011,0.000125,8.5e-05
8.5e-05,0.00013,8.5e-05
9e-05,0.00013,8.5e-05
9.5e-05,0.00013,8.5e-05
0.0001,0.00013,8.5e-05
0.000105,0.00013,8.5e-05
0.00011,0.00013,8.5e-05
0.000115,0.00013,8.5e-05
8.5e-05,0.000135,8.5e-05
9e-05,0.000135,8.5e-05
9.5e-05,0.000135,8.5e-05
0.0001,0.000135,8.5e-05
0.000105,0.000135,8.5e-05
0.00011,0.000135,8.5e-05
0.000115,0.000135,8.5e-05
8.5e-05,0.00014,8.5e-05
9e-05,0.00014,8.5e-05
9.5e-05,0.00014,8.5e-05
0.0001,0.00014,8.5e-05
0.000105,0.00014,8.5e-05
0.00011,0.00014,8.5e-05
0.000115,0.00014,8.5e-05
8e-05,0.000145,8.5e-05
8.5e-05,0.000145,8.5e-05
9e-05,0.000145,8.5e-05
9.5e-05,0.000145,8.5e-05
0.0001,0.000145,8.5e-05
0.000105,0.000145,8.5e-05
0.00011,0.000145,8.5e-05
0.000115,0.000145,8.5e-05
8e-05,0.00015,8.5e-05
8.5e-05,0.00015,8.5e-05
9e-05,0.00015,8.5e-05
9.5e-05,0.00015,8.5e-05
0.0001,0.00015,8.5e-05
0.000105,0.00015,8.5e-05
0.00011,0.00015,8.5e-05
0.000115,0.00015,8.5e-05
8e-05,0.000155,8.5e-05
8.5e-05,0.000155,8.5e-05
9e-05,0.000155,8.5e-05
9.5e-05,0.000155,8.5e-05
0.0001,0.000155,8.5e-05
0.000105,0.000155,8.5e-05
0.00011,0.000155,8.5e-05
0.000115,0.000155,8.5e-05
8e-05,0.00016,8.5e-05
8.5e-05,0.00016,8.5e-05
9e-05,0.00016,8.5e-05
9.5e-05,0.00016,8.5e-05
0.0001,0.00016,8.5e-05
0.000105,0.00016,8.5e-05
0.00011,0.00016,8.5e-05
0.000115,0.00016,8.5e-05
8e-05,0.000165,8.5e-05
8.5e-05,0.000165,8.5e-05
