iy,width,height,depth,area,porosity_at_iy,total_volume_material_at_iy
2.5e-05,6.5e-05,5.4999999999999995e-05,4.999999999999998e-05,2.8000000000000003e-09,0.0625,1.4000000000000003e-14
3e-05,6.5e-05,4.999999999999998e-05,4.999999999999998e-05,2.9500000000000004e-09,0.07627118644067797,1.4750000000000003e-14
3.5e-05,7e-05,4.999999999999998e-05,3.999999999999998e-05,2.9250000000000005e-09,0.03418803418803419,1.4625000000000004e-14
4e-05,7.5e-05,5.499999999999998e-05,4.9999999999999996e-05,3.2500000000000006e-09,0.03076923076923077,1.6250000000000003e-14
4.5e-05,7.5e-05,5.499999999999998e-05,4.9999999999999996e-05,3.3250000000000004e-09,0.03007518796992481,1.6625000000000005e-14
5e-05,7.5e-05,5.499999999999998e-05,5.499999999999998e-05,3.4500000000000007e-09,0.014492753623188406,1.7250000000000005e-14
5.5e-05,7.5e-05,5.9999999999999995e-05,5.499999999999998e-05,3.5750000000000006e-09,0.006993006993006993,1.7875000000000006e-14
6e-05,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,3.7250000000000007e-09,0.006711409395973154,1.8625000000000006e-14
6.5e-05,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,3.975000000000001e-09,0.006289308176100628,1.9875000000000007e-14
7e-05,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,3.925e-09,0.0,1.9625000000000005e-14
7.5e-05,7.5e-05,5.9999999999999995e-05,5.499999999999998e-05,3.950000000000001e-09,0.006329113924050634,1.9750000000000004e-14
8e-05,7.5e-05,6.5e-05,5.999999999999998e-05,3.950000000000001e-09,0.006329113924050634,1.9750000000000004e-14
8.5e-05,7.5e-05,6.5e-05,5.999999999999998e-05,3.875000000000001e-09,0.0,1.9375000000000006e-14
9e-05,7.5e-05,6.5e-05,5.4999999999999995e-05,3.800000000000001e-09,0.0,1.9000000000000004e-14
9.5e-05,7e-05,5.999999999999998e-05,5.4999999999999995e-05,3.4250000000000005e-09,0.0,1.7125000000000006e-14
0.0001,7e-05,5.999999999999998e-05,5.4999999999999995e-05,3.5250000000000005e-09,0.014184397163120569,1.7625000000000004e-14
0.000105,7e-05,5.999999999999998e-05,4.999999999999998e-05,3.5500000000000008e-09,0.01408450704225352,1.7750000000000006e-14
0.00011,7e-05,6.5e-05,5.999999999999998e-05,3.5750000000000006e-09,0.006993006993006993,1.7875000000000006e-14
0.000115,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6750000000000006e-09,0.0,1.8375000000000004e-14
0.00012,8e-05,6.499999999999998e-05,4.9999999999999996e-05,3.7250000000000007e-09,0.0,1.8625000000000006e-14
0.000125,7.5e-05,6.499999999999998e-05,4.9999999999999996e-05,3.6750000000000006e-09,0.0,1.8375000000000004e-14
0.00013,8e-05,6.499999999999998e-05,5.499999999999998e-05,3.950000000000001e-09,0.0,1.9750000000000004e-14
0.000135,8e-05,6.999999999999998e-05,5.999999999999998e-05,4.1250000000000005e-09,0.0,2.0625000000000007e-14
