id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
86,6e-05,0.0001,7.5e-05,0.00012,False,0,4.5e-05,9
87,6e-05,0.000105,7e-05,0.00013,False,0,6e-05,12
88,6e-05,0.00011,7e-05,0.00013,False,0,6e-05,12
89,6e-05,0.000115,6.5e-05,0.000135,False,0,7e-05,14
90,6e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
91,6e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
92,6e-05,0.00013,6.5e-05,0.000135,False,0,7e-05,14
93,6e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
94,6e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
95,6e-05,0.000145,6e-05,0.000105,True,1,4.5e-05,8
96,6e-05,0.00015,6e-05,7.5e-05,False,0,1.5e-05,3
97,6.5e-05,8.5e-05,9e-05,0.00011,False,0,2e-05,4
98,6.5e-05,9e-05,8.5e-05,0.00012,False,0,3.5e-05,7
99,6.5e-05,9.5e-05,8e-05,0.00012,False,0,4e-05,8
100,6.5e-05,0.0001,7.5e-05,0.000125,False,0,5e-05,10
101,6.5e-05,0.000105,7e-05,0.00013,False,0,6e-05,12
102,6.5e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
103,6.5e-05,0.000115,6.5e-05,0.000135,False,0,7e-05,14
104,6.5e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
105,6.5e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
106,6.5e-05,0.00013,6.5e-05,0.000135,False,0,7e-05,14
107,6.5e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
108,6.5e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
109,6.5e-05,0.000145,6e-05,0.000125,False,0,6.5e-05,13
110,6.5e-05,0.00015,6e-05,9e-05,True,1,3e-05,5
111,7e-05,8.5e-05,9e-05,0.000115,False,0,2.5e-05,5
112,7e-05,9e-05,8.5e-05,0.00012,False,0,3.5e-05,7
113,7e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
114,7e-05,0.0001,7.5e-05,0.000125,False,0,5e-05,10
115,7e-05,0.000105,7e-05,0.000135,False,0,6.5e-05,13
116,7e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
117,7e-05,0.000115,6.5e-05,0.000135,False,0,7e-05,14
118,7e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
119,7e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
120,7e-05,0.00013,6.5e-05,0.000135,False,0,7e-05,14
121,7e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
122,7e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
123,7e-05,0.000145,6e-05,0.000125,False,0,6.5e-05,13
124,7e-05,0.00015,8.5e-05,9e-05,False,0,5e-06,1
125,7.5e-05,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
126,7.5e-05,9e-05,8e-05,0.00012,False,0,4e-05,8
127,7.5e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
128,7.5e-05,0.0001,7.5e-05,0.000125,False,0,5e-05,10
129,7.5e-05,0.000105,7e-05,0.000135,False,0,6.5e-05,13
130,7.5e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
131,7.5e-05,0.000115,7e-05,0.000135,False,0,6.5e-05,13
132,7.5e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
133,7.5e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
134,7.5e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
135,7.5e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
136,7.5e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
137,7.5e-05,0.000145,6e-05,0.000125,True,1,6.5e-05,12
138,8e-05,8e-05,9.5e-05,0.000105,False,0,1e-05,2
139,8e-05,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
140,8e-05,9e-05,8e-05,0.00012,False,0,4e-05,8
141,8e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
142,8e-05,0.0001,7.5e-05,0.000125,False,0,5e-05,10
143,8e-05,0.000105,7e-05,0.00013,False,0,6e-05,12
144,8e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
145,8e-05,0.000115,7e-05,0.000135,False,0,6.5e-05,13
146,8e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
147,8e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
148,8e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
149,8e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
150,8e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
151,8e-05,0.000145,6.5e-05,0.000125,True,1,6e-05,11
152,8.5e-05,8e-05,9.5e-05,0.00011,False,0,1.5e-05,3
153,8.5e-05,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
154,8.5e-05,9e-05,8e-05,0.00012,False,0,4e-05,8
155,8.5e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
156,8.5e-05,0.0001,7.5e-05,0.000125,False,0,5e-05,10
157,8.5e-05,0.000105,7e-05,0.00013,False,0,6e-05,12
158,8.5e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
159,8.5e-05,0.000115,7e-05,0.000135,False,0,6.5e-05,13
160,8.5e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
161,8.5e-05,0.000125,6e-05,0.000135,False,0,7.5e-05,15
162,8.5e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
163,8.5e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
164,8.5e-05,0.00014,6e-05,0.000135,False,0,7.5e-05,15
165,8.5e-05,0.000145,7.5e-05,0.00011,False,0,3.5e-05,7
166,9e-05,8e-05,9.5e-05,0.00011,False,0,1.5e-05,3
167,9e-05,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
168,9e-05,9e-05,8e-05,0.00012,False,0,4e-05,8
169,9e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
170,9e-05,0.0001,8e-05,0.000125,False,0,4.5e-05,9
171,9e-05,0.000105,7.5e-05,0.00013,False,0,5.5e-05,11
172,9e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
173,9e-05,0.000115,7e-05,0.000135,False,0,6.5e-05,13
174,9e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
175,9e-05,0.000125,6e-05,0.000135,False,0,7.5e-05,15
176,9e-05,0.00013,6e-05,0.000135,False,0,7.5e-05,15
177,9e-05,0.000135,6e-05,0.000135,False,0,7.5e-05,15
178,9e-05,0.00014,6e-05,0.00013,False,0,7e-05,14
179,9e-05,0.000145,7.5e-05,0.00011,False,0,3.5e-05,7
180,9.5e-05,8e-05,9.5e-05,0.00011,False,0,1.5e-05,3
181,9.5e-05,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
182,9.5e-05,9e-05,8e-05,0.00012,False,0,4e-05,8
183,9.5e-05,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
184,9.5e-05,0.0001,8e-05,0.000125,False,0,4.5e-05,9
185,9.5e-05,0.000105,7e-05,0.00013,False,0,6e-05,12
186,9.5e-05,0.00011,7e-05,0.000135,False,0,6.5e-05,13
187,9.5e-05,0.000115,7e-05,0.000135,False,0,6.5e-05,13
188,9.5e-05,0.00012,6.5e-05,0.000135,False,0,7e-05,14
189,9.5e-05,0.000125,6.5e-05,0.000135,False,0,7e-05,14
190,9.5e-05,0.00013,6.5e-05,0.000135,False,0,7e-05,14
191,9.5e-05,0.000135,6.5e-05,0.000135,False,0,7e-05,14
192,9.5e-05,0.00014,7e-05,0.00011,False,0,4e-05,8
193,0.0001,8e-05,9.5e-05,0.00011,False,0,1.5e-05,3
194,0.0001,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
195,0.0001,9e-05,8e-05,0.00012,False,0,4e-05,8
196,0.0001,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
197,0.0001,0.0001,7.5e-05,0.000125,False,0,5e-05,10
198,0.0001,0.000105,7e-05,0.00013,False,0,6e-05,12
199,0.0001,0.00011,7e-05,0.000135,False,0,6.5e-05,13
200,0.0001,0.000115,7e-05,0.000135,False,0,6.5e-05,13
201,0.0001,0.00012,6.5e-05,0.000135,False,0,7e-05,14
202,0.0001,0.000125,6.5e-05,0.000135,False,0,7e-05,14
203,0.0001,0.00013,6.5e-05,0.000135,False,0,7e-05,14
204,0.0001,0.000135,6.5e-05,0.000135,False,0,7e-05,14
205,0.0001,0.00014,7.5e-05,0.00013,True,2,5.5e-05,9
206,0.000105,8e-05,9.5e-05,0.00011,False,0,1.5e-05,3
207,0.000105,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
208,0.000105,9e-05,8e-05,0.00012,False,0,4e-05,8
209,0.000105,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
210,0.000105,0.0001,7.5e-05,0.000125,False,0,5e-05,10
211,0.000105,0.000105,7e-05,0.00013,False,0,6e-05,12
212,0.000105,0.00011,7e-05,0.000135,False,0,6.5e-05,13
213,0.000105,0.000115,7e-05,0.000135,False,0,6.5e-05,13
214,0.000105,0.00012,6.5e-05,0.000135,False,0,7e-05,14
215,0.000105,0.000125,6.5e-05,0.000135,False,0,7e-05,14
216,0.000105,0.00013,6.5e-05,0.000135,False,0,7e-05,14
217,0.000105,0.000135,7e-05,0.000135,False,0,6.5e-05,13
218,0.000105,0.00014,7.5e-05,0.000135,True,2,6e-05,10
219,0.00011,8e-05,0.0001,0.000105,False,0,5e-06,1
220,0.00011,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
221,0.00011,9e-05,8e-05,0.00012,False,0,4e-05,8
222,0.00011,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
223,0.00011,0.0001,7.5e-05,0.000125,False,0,5e-05,10
224,0.00011,0.000105,7e-05,0.00013,False,0,6e-05,12
225,0.00011,0.00011,7e-05,0.000135,False,0,6.5e-05,13
226,0.00011,0.000115,7e-05,0.000135,False,0,6.5e-05,13
227,0.00011,0.00012,7e-05,0.000135,False,0,6.5e-05,13
228,0.00011,0.000125,6.5e-05,0.000135,False,0,7e-05,14
229,0.00011,0.00013,6.5e-05,0.000135,False,0,7e-05,14
230,0.00011,0.000135,6.5e-05,0.000135,False,0,7e-05,14
231,0.00011,0.00014,6.5e-05,0.000135,True,1,7e-05,13
232,0.00011,0.000145,9e-05,9.5e-05,False,0,5e-06,1
233,0.000115,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
234,0.000115,9e-05,8e-05,0.00012,False,0,4e-05,8
235,0.000115,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
236,0.000115,0.0001,7.5e-05,0.000125,False,0,5e-05,10
237,0.000115,0.000105,7e-05,0.00013,False,0,6e-05,12
238,0.000115,0.00011,7e-05,0.000135,False,0,6.5e-05,13
239,0.000115,0.000115,7e-05,0.000135,False,0,6.5e-05,13
240,0.000115,0.00012,7e-05,0.00014,False,0,7e-05,14
241,0.000115,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
242,0.000115,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
243,0.000115,0.000135,6e-05,0.00014,False,0,8e-05,16
244,0.000115,0.00014,6e-05,0.000135,False,0,7.5e-05,15
245,0.000115,0.000145,9e-05,9.5e-05,False,0,5e-06,1
246,0.00012,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
247,0.00012,9e-05,8e-05,0.00012,False,0,4e-05,8
248,0.00012,9.5e-05,8e-05,0.000125,False,0,4.5e-05,9
249,0.00012,0.0001,8e-05,0.000125,False,0,4.5e-05,9
250,0.00012,0.000105,7.5e-05,0.00013,False,0,5.5e-05,11
251,0.00012,0.00011,7e-05,0.000135,False,0,6.5e-05,13
252,0.00012,0.000115,7e-05,0.000135,False,0,6.5e-05,13
253,0.00012,0.00012,7e-05,0.00014,False,0,7e-05,14
254,0.00012,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
255,0.00012,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
256,0.00012,0.000135,6e-05,0.00014,False,0,8e-05,16
257,0.00012,0.00014,6e-05,0.000135,False,0,7.5e-05,15
258,0.00012,0.000145,8e-05,0.0001,False,0,2e-05,4
259,0.00012,0.00015,9e-05,9.5e-05,False,0,5e-06,1
260,0.000125,8.5e-05,8.5e-05,0.00011,False,0,2.5e-05,5
261,0.000125,9e-05,8e-05,0.00012,False,0,4e-05,8
262,0.000125,9.5e-05,8e-05,0.00012,False,0,4e-05,8
263,0.000125,0.0001,8e-05,0.000125,False,0,4.5e-05,9
264,0.000125,0.000105,7.5e-05,0.00013,False,0,5.5e-05,11
265,0.000125,0.00011,7e-05,0.00013,False,0,6e-05,12
266,0.000125,0.000115,7e-05,0.000135,False,0,6.5e-05,13
267,0.000125,0.00012,7e-05,0.000135,False,0,6.5e-05,13
268,0.000125,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
269,0.000125,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
270,0.000125,0.000135,6.5e-05,0.00014,False,0,7.5e-05,15
271,0.000125,0.00014,6.5e-05,0.000135,False,0,7e-05,14
