iy,width,height,depth,porosity_at_iy,total_volume_material_at_iy
0.000125,8.5e-05,7e-05,6.499999999999998e-05,0.0,2.0250000000000005e-14
0.00013,8.5e-05,5.9999999999999995e-05,5.499999999999998e-05,0.005988023952095809,2.0875000000000006e-14
0.000135,8e-05,5.9999999999999995e-05,5.499999999999998e-05,0.0,2.0125000000000006e-14
0.00014,8.5e-05,5.9999999999999995e-05,5.000000000000002e-05,0.0,2.0125000000000006e-14
0.000145,8.5e-05,7e-05,6.000000000000002e-05,0.017964071856287425,2.0875000000000006e-14
0.00015,8e-05,7.500000000000001e-05,6.000000000000002e-05,0.011764705882352941,2.1250000000000007e-14
0.000155,7.5e-05,7.500000000000001e-05,5.500000000000001e-05,0.005813953488372093,2.1500000000000006e-14
0.00016,7.5e-05,7.500000000000001e-05,5.500000000000001e-05,0.0,2.1375000000000007e-14
0.000165,7.5e-05,8.000000000000002e-05,5.500000000000001e-05,0.0,2.1250000000000007e-14
0.00017,8e-05,8.000000000000002e-05,4.9999999999999996e-05,0.0,2.1375000000000007e-14
0.000175,8e-05,8.000000000000002e-05,5.500000000000001e-05,0.0,2.1500000000000006e-14
0.00018,8e-05,7.500000000000001e-05,5.500000000000001e-05,0.0,2.0250000000000005e-14
0.000185,7.5e-05,7e-05,6.000000000000002e-05,0.0062499999999999995,2.0000000000000006e-14
0.00019,7.5e-05,7.500000000000001e-05,6.000000000000002e-05,0.0,2.0250000000000005e-14
0.000195,8e-05,7.500000000000001e-05,6.000000000000002e-05,0.0,2.0250000000000005e-14
0.0002,8e-05,7.500000000000001e-05,5.500000000000001e-05,0.0,2.0500000000000004e-14
0.000205,7.5e-05,7.499999999999998e-05,6.500000000000001e-05,0.0,2.0000000000000006e-14
0.00021,7.5e-05,7.999999999999999e-05,6.500000000000001e-05,0.006211180124223602,2.0125000000000006e-14
0.000215,7e-05,7.999999999999999e-05,6.500000000000001e-05,0.006756756756756756,1.8500000000000006e-14
0.00022,7e-05,7e-05,6.000000000000002e-05,0.0,1.6375000000000006e-14
0.000225,7e-05,6.499999999999998e-05,6.499999999999998e-05,0.0,1.4875000000000003e-14
0.00023,7e-05,4.999999999999997e-05,4.999999999999997e-05,0.0,1.3125000000000004e-14
0.000235,7e-05,4.9999999999999996e-05,4.0000000000000024e-05,0.0,1.1250000000000003e-14
0.00024,6.5e-05,3.9999999999999996e-05,3.0000000000000024e-05,0.0,9.250000000000003e-15
0.000245,5e-06,4.999999999999986e-06,4.999999999999986e-06,0.0,2.5000000000000007e-16
0.00025,5e-05,4.499999999999998e-05,3.500000000000001e-05,0.0,5.0000000000000016e-15
0.000255,5e-06,5.000000000000013e-06,5.000000000000013e-06,0.0,2.5000000000000007e-16
